pokedex_number,name,type1,type2,Sum,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary
820,Greedent,normal,,460,120,95,95,55,75,20,8,FALSE
821,Rookidee,flying,,245,38,47,35,33,35,57,8,FALSE
822,Corvisquire,flying,,365,68,67,55,43,55,77,8,FALSE
823,Corviknight,flying,steel,495,98,87,105,53,85,67,8,FALSE
824,Blipbug,bug,,180,25,20,20,25,45,45,8,FALSE
825,Dottler,bug,psychic,335,50,35,80,50,90,30,8,FALSE
826,Orbeetle,bug,psychic,505,60,45,110,80,120,90,8,FALSE
827,Nickit,dark,,245,40,28,28,47,52,50,8,FALSE
828,Thievul,dark,,455,70,58,58,87,92,90,8,FALSE
829,Gossifleur,grass,,250,40,40,60,40,60,10,8,FALSE
830,Eldegoss,grass,,460,60,50,90,80,120,60,8,FALSE
831,Wooloo,normal,,270,42,40,55,40,45,48,8,FALSE
832,Dubwool,normal,,490,72,80,100,60,90,88,8,FALSE
833,Chewtle,water,,284,50,64,50,38,38,44,8,FALSE
834,Drednaw,water,rock,485,90,115,90,48,68,74,8,FALSE
835,Yamper,electric,,270,59,45,50,40,50,26,8,FALSE
836,Boltund,electric,,490,69,90,60,90,60,121,8,FALSE
837,Rolycoly,rock,,240,30,40,50,40,50,30,8,FALSE
838,Carkol,rock,fire,410,80,60,90,60,70,50,8,FALSE
839,Coalossal,rock,fire,510,110,80,120,80,90,30,8,FALSE
840,Applin,grass,dragon,260,40,40,80,40,40,20,8,FALSE
841,Flapple,grass,dragon,485,70,110,80,95,60,70,8,FALSE
842,Appletun,grass,dragon,485,110,85,80,100,80,30,8,FALSE
843,Silicobra,ground,,315,52,57,75,35,50,46,8,FALSE
844,Sandaconda,ground,,510,72,107,125,65,70,71,8,FALSE
845,Cramorant,flying,water,475,70,85,55,85,95,85,8,FALSE
846,Arrokuda,water,,280,41,63,40,40,30,66,8,FALSE
847,Barraskewda,water,,490,61,123,60,60,50,136,8,FALSE
848,Toxel,electric,poison,242,40,38,35,54,35,40,8,FALSE
849,Toxtricity,electric,poison,502,75,98,70,114,70,75,8,FALSE
850,Sizzlipede,fire,bug,305,50,65,45,50,50,45,8,FALSE
851,Centiskorch,fire,bug,525,100,115,65,90,90,65,8,FALSE
852,Clobbopus,fighting,,310,50,68,60,50,50,32,8,FALSE
853,Grapploct,fighting,,480,80,118,90,70,80,42,8,FALSE
854,Sinistea,ghost,,308,40,45,45,74,54,50,8,FALSE
855,Polteageist,ghost,,508,60,65,65,134,114,70,8,FALSE
856,Hatenna,psychic,,265,42,30,45,56,53,39,8,FALSE
857,Hattrem,psychic,,370,57,40,65,86,73,49,8,FALSE
858,Hatterene,psychic,fairy,510,57,90,95,136,103,29,8,FALSE
859,Impidimp,dark,fairy,265,45,45,30,55,40,50,8,FALSE
860,Morgrem,dark,fairy,370,65,60,45,75,55,70,8,FALSE
861,Grimmsnarl,dark,fairy,510,95,120,65,95,75,60,8,FALSE
862,Obstagoon,dark,normal,520,93,90,101,60,81,95,8,FALSE
863,Perrserker,steel,,440,70,110,100,50,60,50,8,FALSE
864,Cursola,ghost,,510,60,95,50,145,130,30,8,FALSE
865,Sirfetch'd,fighting,,507,62,135,95,68,82,65,8,FALSE
866,Mr. Rime,ice,psychic,520,80,85,75,110,100,70,8,FALSE
867,Runerigus,ground,ghost,483,58,95,145,50,105,30,8,FALSE
868,Milcery,fairy,,270,45,40,40,50,61,34,8,FALSE
869,Alcremie,fairy,,495,65,60,75,110,121,64,8,FALSE
870,Falinks,fighting,,470,65,100,100,70,60,75,8,FALSE
871,Pincurchin,electric,,435,48,101,95,91,85,15,8,FALSE
872,Snom,ice,bug,185,30,25,35,45,30,20,8,FALSE
873,Frosmoth,ice,bug,475,70,65,60,125,90,65,8,FALSE
874,Stonjourner,rock,,470,100,125,135,20,20,70,8,FALSE
875,Eiscue,ice,,470,75,80,110,65,90,50,8,FALSE
876,Indeedee,psychic,normal,475,60,65,55,105,95,95,8,FALSE
877,Morpeko,electric,dark,436,58,95,58,70,58,97,8,FALSE
878,Cufant,steel,,330,72,80,49,40,49,40,8,FALSE
879,Copperajah,steel,,500,122,130,69,80,69,30,8,FALSE
880,Dracozolt,electric,dragon,505,90,100,90,80,70,75,8,FALSE
881,Arctozolt,electric,ice,505,90,100,90,90,80,55,8,FALSE
882,Dracovish,water,dragon,505,90,90,100,70,80,75,8,FALSE
883,Arctovish,water,ice,505,90,90,100,80,90,55,8,FALSE
884,Duraludon,steel,dragon,535,70,95,115,120,50,85,8,FALSE
885,Dreepy,dragon,ghost,270,28,60,30,40,30,82,8,FALSE
886,Drakloak,dragon,ghost,410,68,80,50,60,50,102,8,FALSE
887,Dragapult,dragon,ghost,600,88,120,75,100,75,142,8,FALSE
888,Zacian,fairy,,670,92,130,115,80,115,138,8,TRUE
889,Zamazenta,fighting,,670,92,130,115,80,115,138,8,TRUE
